"date_","continent","location","population","new_people_vaccinated_smoothed","cumsum_vac"
"2021-01-22","Asia","Afghanistan",39835428,0,0.0
"2021-01-23","Asia","Afghanistan",39835428,0,0.0
"2021-01-24","Asia","Afghanistan",39835428,0,0.0
"2021-01-25","Asia","Afghanistan",39835428,0,0.0
"2021-01-26","Asia","Afghanistan",39835428,0,0.0
"2021-01-27","Asia","Afghanistan",39835428,0,0.0
"2021-01-28","Asia","Afghanistan",39835428,0,0.0
"2021-01-29","Asia","Afghanistan",39835428,0,0.0
"2021-01-30","Asia","Afghanistan",39835428,0,0.0
"2021-01-31","Asia","Afghanistan",39835428,0,0.0
"2021-02-01","Asia","Afghanistan",39835428,0,0.0
"2021-02-02","Asia","Afghanistan",39835428,0,0.0
"2021-02-03","Asia","Afghanistan",39835428,0,0.0
"2021-02-04","Asia","Afghanistan",39835428,0,0.0
"2021-02-05","Asia","Afghanistan",39835428,0,0.0
"2021-02-06","Asia","Afghanistan",39835428,0,0.0
"2021-02-07","Asia","Afghanistan",39835428,0,0.0
"2021-02-08","Asia","Afghanistan",39835428,0,0.0
"2021-02-09","Asia","Afghanistan",39835428,0,0.0
"2021-02-10","Asia","Afghanistan",39835428,0,0.0
"2021-02-11","Asia","Afghanistan",39835428,0,0.0
"2021-02-12","Asia","Afghanistan",39835428,0,0.0
"2021-02-13","Asia","Afghanistan",39835428,0,0.0
"2021-02-14","Asia","Afghanistan",39835428,0,0.0
"2021-02-15","Asia","Afghanistan",39835428,0,0.0
"2021-02-16","Asia","Afghanistan",39835428,0,0.0
"2021-02-17","Asia","Afghanistan",39835428,0,0.0
"2021-02-18","Asia","Afghanistan",39835428,0,0.0
"2021-02-19","Asia","Afghanistan",39835428,0,0.0
"2021-02-20","Asia","Afghanistan",39835428,0,0.0
"2021-02-21","Asia","Afghanistan",39835428,0,0.0
"2021-02-22","Asia","Afghanistan",39835428,0,0.0
"2021-02-23","Asia","Afghanistan",39835428,1367,1367.0
"2021-02-24","Asia","Afghanistan",39835428,1367,2734.0
"2021-02-25","Asia","Afghanistan",39835428,1367,4101.0
